function_name|parameter_name|reporting_level|check_if_exists|Value_BRA|Value_ITA|Value_TZA|Problem|Action
get_country_all_inds|kba_avg_prot_perc|C|kba_avg_prot_perc|46.46|78.7|57.79||
get_country_all_inds|kba_n_fully_prot|C|kba_n_fully_prot|62|75|31||
get_country_all_inds|kba_n_not_protected|C|kba_n_not_protected|84|7|34||
get_country_all_inds|kba_n_partially_prot|C|kba_n_partially_prot|125|242|54||
get_country_all_inds|kba_n_tot|C|kba_n_tot|271|324|119||
get_country_all_inds|land_natural_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_copernicus_lc_2019 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|land_natural_perc|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_copernicus_lc_2019 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|land_natural_prot_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_copernicus_lc_2019 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|land_natural_prot_perc|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_copernicus_lc_2019 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|lpd_increased_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_lpd and added to indicators.sh and outputs.sh scripts
get_country_all_inds|lpd_moderate_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_lpd and added to indicators.sh and outputs.sh scripts
get_country_all_inds|lpd_null_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_lpd and added to indicators.sh and outputs.sh scripts
get_country_all_inds|lpd_prot_increased_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_lpd and added to indicators.sh and outputs.sh scripts
get_country_all_inds|lpd_prot_moderate_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_lpd and added to indicators.sh and outputs.sh scripts
get_country_all_inds|lpd_prot_null_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_lpd and added to indicators.sh and outputs.sh scripts
get_country_all_inds|lpd_prot_severe_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_lpd and added to indicators.sh and outputs.sh scripts
get_country_all_inds|lpd_prot_stable_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_lpd and added to indicators.sh and outputs.sh scripts
get_country_all_inds|lpd_prot_stressed_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_lpd and added to indicators.sh and outputs.sh scripts
get_country_all_inds|lpd_severe_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_lpd and added to indicators.sh and outputs.sh scripts
get_country_all_inds|lpd_stable_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_lpd and added to indicators.sh and outputs.sh scripts
get_country_all_inds|lpd_stressed_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_lpd and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_core_1995_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_1995 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_core_2000_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2000and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_core_2005_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2005 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_core_2010_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2010 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_core_2015_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2015 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_edges_1995_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_1995 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_edges_2000_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2000and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_edges_2005_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2005 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_edges_2010_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2010 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_edges_2015_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2015 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_islets_1995_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_1995 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_islets_2000_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2000and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_islets_2005_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2005 and added to indicators.sh and outputs.sh scripts
